1142,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.broker.RedeliveryRecoveryTest-output.txt,31,"2020-12-10 14:46:12,989 [main           ] - INFO  RedeliveryRecoveryTest         - got: ActiveMQTextMessage {commandId = 6, responseRequired = true, messageId = ID:sense02.encs.concordia.ca-44569-1607629572346-4:1:2:1:1, originalDestination = null, originalTransactionId = null, producerId = ID:sense02.encs.concordia.ca-44569-1607629572346-4:1:2:1, destination = queue://redeliveryRecoveryQ, transactionId = null, expiration = 0, timestamp = 1607629572624, arrival = 0, brokerInTime = 1607629572624, brokerOutTime = 1607629572989, correlationId = null, replyTo = null, persistent = true, type = null, priority = 4, groupID = null, groupSequence = 0, targetConsumerId = null, compressed = false, userID = null, content = org.apache.activemq.util.ByteSequence@662706a7, marshalledProperties = null, dataStructure = null, redeliveryCounter = 1, size = 0, properties = null, readOnlyProperties = true, readOnlyBody = true, droppable = false, jmsXGroupFirstForConsumer = false, text = <hello id='1'/>}"
1146,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.bugs.AMQ4475Test-output.txt,14,"2020-12-10 16:00:29,652 [main           ] - INFO  AMQ4475Test                    - [Completed] jms/AQueue"
1176,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.broker.region.QueuePurgeTest-output.txt,39,"2020-12-10 15:32:43,751 [main           ] - INFO  QueuePurgeTest                 - purge done: 1514ms"
1190,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.store.kahadb.MultiKahaDBTopicDeletionTest-output.txt,132,"2020-12-10 17:46:57,632 [main           ] - INFO  MultiKahaDBTopicDeletionTest   - Deleting topic://test.> first, topic://test.t.topic second"
1236,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.bugs.AMQ4485LowLimitTest-output.txt,459,"2020-12-10 16:06:21,402 [main           ] - INFO  AMQ4485LowLimitTest            - Tally for: B0, dest: queue://GW.0 - 744 != 1000, [732, 739, 740, 742, 743, 744, 745, 746, 748, 749, 751, 752, 753, 754, 755, 757, 758, 759, 760, 761, 762, 764, 765, 766, 767, 768, 769, 770, 772, 773, 774, 775, 776, 777, 778, 779, 780, 781, 782, 783, 784, 785, 786, 787, 788, 789, 790, 791, 792, 793, 794, 795, 796, 797, 798, 799, 800, 801, 802, 803, 804, 805, 806, 807, 808, 809, 810, 811, 812, 813, 814, 815, 816, 817, 818, 819, 820, 821, 822, 823, 824, 825, 826, 827, 828, 829, 830, 831, 832, 833, 834, 835, 836, 837, 838, 839, 840, 841, 842, 843, 844, 845, 846, 847, 848, 849, 850, 851, 852, 853, 854, 855, 856, 857, 858, 859, 860, 861, 862, 863, 864, 865, 866, 867, 868, 869, 870, 871, 872, 873, 874, 875, 876, 877, 878, 879, 880, 881, 882, 883, 884, 885, 886, 887, 888, 889, 890, 891, 892, 893, 894, 895, 896, 897, 898, 899, 900, 901, 902, 903, 904, 905, 906, 907, 908, 909, 910, 911, 912, 913, 914, 915, 916, 917, 918, 919, 920, 921, 922, 923, 924, 925, 926, 927, 928, 929, 930, 931, 932, 933, 934, 935, 936, 937, 938, 939, 940, 941, 942, 943, 944, 945, 946, 947, 948, 949, 950, 951, 952, 953, 954, 955, 956, 957, 958, 959, 960, 961, 962, 963, 964, 965, 966, 967, 968, 969, 970, 971, 972, 973, 974, 975, 976, 977, 978, 979, 980, 981, 982, 983, 984, 985, 986, 987, 988, 989, 990, 991, 992, 993, 994, 995, 996, 997, 998, 999]"
1261,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.bugs.AMQ3166Test-output.txt,236,"2020-12-10 15:55:02,457 [main           ] - INFO  AMQ3166Test                    - Got expected: javax.jms.JMSException: no way, won't accept any messages"
1288,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.bugs.AMQ4595Test-output.txt,65,"2020-12-10 16:11:41,312 [me-limited test] - INFO  AMQ4595Test                    - B[1000]: Message: 1000 sent at: Thu Dec 10 16:11:41 EST 2020                                                 "
1293,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.bugs.RedeliveryPluginHeaderTest-output.txt,16,"2020-12-10 16:47:51,898 [main           ] - INFO  RedeliveryPluginHeaderTest     - got redelivered: ActiveMQTextMessage {commandId = 6, responseRequired = false, messageId = ID:sense02.encs.concordia.ca-42237-1607636871579-4:1:1:1:1, originalDestination = null, originalTransactionId = null, producerId = ID:sense02.encs.concordia.ca-42237-1607636871579-4:1:1:1, destination = queue://TEST_QUEUE_ONE, transactionId = TX:ID:sense02.encs.concordia.ca-42237-1607636871579-4:1:1, expiration = 0, timestamp = 1607636871853, arrival = 0, brokerInTime = 1607636871855, brokerOutTime = 1607636871894, correlationId = null, replyTo = null, persistent = true, type = null, priority = 4, groupID = null, groupSequence = 0, targetConsumerId = null, compressed = false, userID = null, content = org.apache.activemq.util.ByteSequence@7e5afaa6, marshalledProperties = null, dataStructure = null, redeliveryCounter = 0, size = 0, properties = null, readOnlyProperties = true, readOnlyBody = true, droppable = false, jmsXGroupFirstForConsumer = false, text = testMessage}"
1296,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.bugs.CursorMemoryHighWaterMarkTest-output.txt,10,"2020-12-10 16:44:23,654 [main           ] - INFO  CursorMemoryHighWaterMarkTest  - Broker System Mem Usage: Usage(Main:memory) percentUsage=61%, usage=3084000, limit=5000000, percentUsageMinDelta=1%"
1297,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.store.kahadb.KahaDBDeleteLockTest-output.txt,9,"2020-12-10 17:39:27,707 [main           ] - INFO  KahaDBDeleteLockTest           - Lock file /home/users/hzhang/project/repo2test/activemq-master/activemq-unit-tests/target/activemq-data/KahaDBDeleteLockTest/kahadb/lock, last mod at: Thu Dec 10 17:39:27 EST 2020"
1299,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.bugs.AMQ4220Test-output.txt,10,"2020-12-10 15:59:26,977 [main           ] - INFO  AMQ4220Test                    - Removing initial destination: TEST.QUEUE"
1304,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.bugs.AMQ4323Test-output.txt,522,"2020-12-10 15:59:48,549 [main           ] - INFO  AMQ4323Test                    - current filecount:4"
1305,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.bugs.AMQ5822Test-output.txt,9,"2020-12-10 16:22:39,410 [main           ] - INFO  AMQ5822Test                    - Connecting to: nio://sense02.encs.concordia.ca:43261"
1334,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.security.XBeanSecurityTest-output.txt,380,"2020-12-10 17:24:06,837 [main           ] - INFO  XBeanSecurityTest              - Loading broker configuration from the classpath with URI: org/apache/activemq/security/jaas-broker.xml"
1406,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.broker.policy.DeadLetterExpiryTest-output.txt,204,"2020-12-10 15:04:35,240 [main           ] - INFO  DeadLetterExpiryTest           - Rolled back: 4 times"
1417,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.usecases.QueueRepeaterTest-output.txt,8,"2020-12-10 18:45:29,956 [main           ] - INFO  QueueRepeaterTest              - producer sent message :Hello, Thu Dec 10 18:45:29 EST 2020"
1422,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.bugs.AMQ5921Test-output.txt,9,"2020-12-10 16:23:11,555 [main           ] - INFO  AMQ5921Test                    - Received: void"
1423,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.broker.virtual.MirroredQueueTest-output.txt,8,"2020-12-10 15:52:13,899 [main           ] - INFO  MirroredQueueTest              - Consuming from: topic://VirtualTopic.Mirror.My.Queue"
1482,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.transport.tcp.TransportUriTest-output.txt,111,"2020-12-10 18:09:05,735 [main           ] - INFO  TransportUriTest               - Connecting via: nulltcp://localhost:61616null&diffServ=64"
1519,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.usecases.TransactionTest-output.txt,10,"2020-12-10 18:53:42,306 [ Session Task-1] - INFO  TransactionTest                - consumer received message :Hello, Thu Dec 10 18:53:42 EST 2020"
1528,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.bugs.AMQ6094Test-output.txt,17,"2020-12-10 16:23:36,039 [main           ] - INFO  AMQ6094Test                    - cursorMemoryUsage: 2634606"
1562,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.XAConsumerTest-output.txt,12,"2020-12-10 14:38:55,904 [main           ] - INFO  XAConsumerTest                 - >>>simulate Transaction Rollback"
1574,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.bugs.AMQ6000Test-output.txt,10,"2020-12-10 16:23:13,239 [me-limited test] - INFO  AMQ6000Test                    - Resuming Queue"
1575,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.network.DuplexStartNpeTest-output.txt,27,"2020-12-10 17:02:14,246 [t: vm://B1#13-1] - INFO  DuplexStartNpeTest             - New connection for broker1: ConnectionInfo {commandId = 2, responseRequired = true, connectionId = B1->B0-43055-1607637733009-9:2, clientId = NC_B0_inbound_duplex_B1, clientIp = vm://B1#12, userName = null, password = *****, brokerPath = null, brokerMasterConnector = false, manageable = false, clientMaster = true, faultTolerant = false, failoverReconnect = false}"
1585,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.usecases.ConsumeTopicPrefetchTest-output.txt,27,"2020-12-10 18:16:49,959 [main           ] - INFO  ConsumeTopicPrefetchTest       - inflight for : org.apache.activemq.usecases.ConsumeTopicPrefetchTest.testSendDoublePrefetchSize: 100"
1599,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.JmsDurableTopicSendReceiveTest-output.txt,17,"2020-12-10 14:34:19,076 [main           ] - INFO  JmsDurableTopicSendReceiveTest - Creating durable consumer"
1650,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.bugs.AMQ7118Test-output.txt,62,"2020-12-10 16:43:07,207 [main           ] - INFO  AMQ7118Test                    -     db-22.log"
1732,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.JmsConnectionStartStopTest-output.txt,1,"2020-12-10 14:34:06,200 [main           ] - INFO  JmsConnectionStartStopTest     - file:/home/users/hzhang/project/repo2test/activemq-master/activemq-unit-tests/target/test-classes/log4j.properties"
1736,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.store.jdbc.LeaseDatabaseLockerTest-output.txt,35,"2020-12-10 17:36:46,547 [main           ] - INFO  LeaseDatabaseLockerTest        - released Anon"
1738,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.broker.scheduler.ReduceMemoryFootprintTest-output.txt,35,"2020-12-10 15:45:05,254 [me-limited test] - INFO  ReduceMemoryFootprintTest      - Attempting to receive non-scheduled message"
1746,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.store.kahadb.KahaDBIndexLocationTest-output.txt,48,"2020-12-10 17:40:01,103 [main           ] - INFO  KahaDBIndexLocationTest        - Testing filename: db.redo"
